"Date","Ticker","close","mt_pb_anchor","lt_pb_anchor"
8/1/2024 0:00:00,"XLK",210.64,231.56,235.74
8/2/2024 0:00:00,"XLK",204.72,231.56,235.74
8/5/2024 0:00:00,"XLK",197.90,223.66,235.74
8/6/2024 0:00:00,"XLK",200.59,223.66,235.74
8/7/2024 0:00:00,"XLK",197.34,223.66,235.74
8/8/2024 0:00:00,"XLK",204.71,223.66,235.74
8/9/2024 0:00:00,"XLK",205.63,223.66,235.74
8/12/2024 0:00:00,"XLK",207.31,222.26,235.74
8/13/2024 0:00:00,"XLK",213.68,222.26,235.74
8/14/2024 0:00:00,"XLK",214.85,222.26,235.74
8/15/2024 0:00:00,"XLK",221.03,222.26,235.74
8/16/2024 0:00:00,"XLK",221.40,222.26,235.74
8/19/2024 0:00:00,"XLK",225.05,231.17,235.74
8/20/2024 0:00:00,"XLK",224.26,231.17,235.74
8/21/2024 0:00:00,"XLK",225.58,231.17,235.74
8/22/2024 0:00:00,"XLK",220.39,231.17,235.74
8/23/2024 0:00:00,"XLK",223.96,231.17,235.74
8/26/2024 0:00:00,"XLK",221.15,229.50,235.74
8/27/2024 0:00:00,"XLK",222.49,229.50,235.74
8/28/2024 0:00:00,"XLK",219.42,229.50,235.74
8/29/2024 0:00:00,"XLK",217.44,229.50,235.74
8/30/2024 0:00:00,"XLK",220.33,229.50,235.74
9/3/2024 0:00:00,"XLK",210.21,222.98,236.01
9/4/2024 0:00:00,"XLK",209.67,222.98,236.01
9/5/2024 0:00:00,"XLK",209.35,222.98,236.01
9/6/2024 0:00:00,"XLK",203.92,222.98,236.01
9/9/2024 0:00:00,"XLK",207.26,215.04,236.01
9/10/2024 0:00:00,"XLK",210.36,215.04,236.01
9/11/2024 0:00:00,"XLK",217.54,215.04,236.01
9/12/2024 0:00:00,"XLK",219.34,215.04,236.01
9/13/2024 0:00:00,"XLK",220.44,215.04,236.01
9/16/2024 0:00:00,"XLK",219.60,222.78,236.01
9/17/2024 0:00:00,"XLK",219.17,222.78,236.01
9/18/2024 0:00:00,"XLK",217.17,222.78,236.01
9/19/2024 0:00:00,"XLK",223.62,222.78,236.01
9/20/2024 0:00:00,"XLK",222.53,222.78,236.01
11/6/2024 0:00:00,"XLK",233.35,237.42,254.44
11/7/2024 0:00:00,"XLK",237.42,237.42,254.44
11/8/2024 0:00:00,"XLK",237.16,237.42,254.44
11/11/2024 0:00:00,"XLK",235.85,244.80,254.44
9/23/2024 0:00:00,"XLK",222.09,225.04,236.01
9/24/2024 0:00:00,"XLK",223.61,225.04,236.01
9/25/2024 0:00:00,"XLK",224.25,225.04,236.01
9/26/2024 0:00:00,"XLK",227.22,225.04,236.01
9/27/2024 0:00:00,"XLK",225.10,225.04,236.01
9/30/2024 0:00:00,"XLK",225.76,224.68,236.01
10/1/2024 0:00:00,"XLK",220.26,224.68,247.07
10/2/2024 0:00:00,"XLK",221.89,224.68,247.07
10/3/2024 0:00:00,"XLK",222.81,224.68,247.07
10/4/2024 0:00:00,"XLK",225.29,224.68,247.07
10/7/2024 0:00:00,"XLK",223.74,224.54,247.07
10/8/2024 0:00:00,"XLK",227.92,224.54,247.07
10/9/2024 0:00:00,"XLK",230.47,224.54,247.07
10/10/2024 0:00:00,"XLK",230.41,224.54,247.07
10/11/2024 0:00:00,"XLK",230.81,224.54,247.07
10/14/2024 0:00:00,"XLK",233.82,230.58,247.07
10/15/2024 0:00:00,"XLK",228.68,230.58,247.07
10/16/2024 0:00:00,"XLK",229.39,230.58,247.07
10/17/2024 0:00:00,"XLK",230.09,230.58,247.07
10/18/2024 0:00:00,"XLK",230.91,230.58,247.07
10/21/2024 0:00:00,"XLK",231.99,233.92,247.07
10/22/2024 0:00:00,"XLK",231.75,233.92,247.07
10/23/2024 0:00:00,"XLK",228.43,233.92,247.07
10/24/2024 0:00:00,"XLK",229.10,233.92,247.07
10/25/2024 0:00:00,"XLK",230.29,233.92,247.07
10/28/2024 0:00:00,"XLK",230.22,235.23,247.07
10/29/2024 0:00:00,"XLK",233.32,235.23,247.07
10/30/2024 0:00:00,"XLK",229.61,235.23,247.07
10/31/2024 0:00:00,"XLK",222.24,235.23,247.07
11/1/2024 0:00:00,"XLK",223.91,235.23,254.44
11/4/2024 0:00:00,"XLK",223.74,237.42,254.44
11/5/2024 0:00:00,"XLK",226.89,237.42,254.44
11/12/2024 0:00:00,"XLK",236.15,244.80,254.44
11/13/2024 0:00:00,"XLK",235.33,244.80,254.44
11/14/2024 0:00:00,"XLK",234.53,244.80,254.44
11/15/2024 0:00:00,"XLK",228.71,244.80,254.44
11/18/2024 0:00:00,"XLK",229.45,241.44,254.44
11/19/2024 0:00:00,"XLK",231.33,241.44,254.44
11/20/2024 0:00:00,"XLK",231.13,241.44,254.44
11/21/2024 0:00:00,"XLK",233.48,241.44,254.44
11/22/2024 0:00:00,"XLK",233.60,241.44,254.44
11/25/2024 0:00:00,"XLK",233.59,239.33,254.44
11/26/2024 0:00:00,"XLK",234.76,239.33,254.44
11/27/2024 0:00:00,"XLK",231.58,239.33,254.44
11/29/2024 0:00:00,"XLK",233.73,239.33,254.44
12/2/2024 0:00:00,"XLK",235.95,243.32,258.80
12/3/2024 0:00:00,"XLK",236.80,243.32,258.80
12/4/2024 0:00:00,"XLK",241.13,243.32,258.80
12/5/2024 0:00:00,"XLK",239.91,243.32,258.80
12/6/2024 0:00:00,"XLK",240.84,243.32,258.80
12/9/2024 0:00:00,"XLK",239.27,249.38,258.80
12/10/2024 0:00:00,"XLK",235.95,249.38,258.80
12/11/2024 0:00:00,"XLK",239.37,249.38,258.80
12/12/2024 0:00:00,"XLK",238.03,249.38,258.80
12/13/2024 0:00:00,"XLK",239.05,249.38,258.80
12/16/2024 0:00:00,"XLK",241.44,249.38,258.80
12/17/2024 0:00:00,"XLK",239.98,249.38,258.80
12/18/2024 0:00:00,"XLK",232.24,249.38,258.80
12/19/2024 0:00:00,"XLK",232.49,249.38,258.80
12/20/2024 0:00:00,"XLK",235.96,249.38,258.80
12/23/2024 0:00:00,"XLK",238.07,248.56,258.80
12/24/2024 0:00:00,"XLK",240.53,248.56,258.80
12/26/2024 0:00:00,"XLK",240.69,248.56,258.80
12/27/2024 0:00:00,"XLK",237.49,248.56,258.80
12/30/2024 0:00:00,"XLK",234.47,248.39,258.80
12/31/2024 0:00:00,"XLK",232.52,248.39,258.80
1/2/2025 0:00:00,"XLK",231.97,248.39,257.63
1/3/2025 0:00:00,"XLK",235.75,248.39,257.63
1/6/2025 0:00:00,"XLK",238.75,246.24,257.63
1/7/2025 0:00:00,"XLK",233.96,246.24,257.63
1/8/2025 0:00:00,"XLK",233.88,246.24,257.63
1/10/2025 0:00:00,"XLK",228.78,246.24,257.63
1/13/2025 0:00:00,"XLK",227.16,242.08,257.63
1/14/2025 0:00:00,"XLK",227.76,242.08,257.63
1/15/2025 0:00:00,"XLK",232.29,242.08,257.63
1/16/2025 0:00:00,"XLK",230.50,242.08,257.63
1/17/2025 0:00:00,"XLK",234.11,242.08,257.63
1/21/2025 0:00:00,"XLK",236.06,243.00,257.63
1/22/2025 0:00:00,"XLK",241.39,243.00,257.63
1/23/2025 0:00:00,"XLK",241.82,243.00,257.63
1/24/2025 0:00:00,"XLK",239.30,243.00,257.63
1/27/2025 0:00:00,"XLK",227.57,245.96,257.63
1/28/2025 0:00:00,"XLK",233.64,245.96,257.63
1/29/2025 0:00:00,"XLK",231.74,245.96,257.63
1/30/2025 0:00:00,"XLK",232.17,245.96,257.63
1/31/2025 0:00:00,"XLK",230.81,245.96,257.63
2/3/2025 0:00:00,"XLK",227.70,242.10,257.23
2/4/2025 0:00:00,"XLK",230.98,242.10,257.23
2/5/2025 0:00:00,"XLK",234.19,242.10,257.23
2/6/2025 0:00:00,"XLK",234.83,242.10,257.23
2/7/2025 0:00:00,"XLK",232.82,242.10,257.23
2/10/2025 0:00:00,"XLK",236.22,242.86,257.23
2/11/2025 0:00:00,"XLK",236.33,242.86,257.23
2/12/2025 0:00:00,"XLK",235.82,242.86,257.23
2/13/2025 0:00:00,"XLK",239.16,242.86,257.23
2/14/2025 0:00:00,"XLK",239.97,242.86,257.23
2/18/2025 0:00:00,"XLK",242.16,244.44,257.23
2/19/2025 0:00:00,"XLK",242.18,244.44,257.23
2/20/2025 0:00:00,"XLK",241.41,244.44,257.23
2/21/2025 0:00:00,"XLK",234.87,244.44,257.23
2/24/2025 0:00:00,"XLK",231.51,241.19,257.23
2/25/2025 0:00:00,"XLK",228.51,241.19,257.23
