Date,Ticker,Ticker_name,Close,lt_pt_sm,change_pct,day_rr_ratio,week_rr_ratio,month_rr_ratio,Ivol,Rvol,prem_disc,model_score,day_pr_low,day_pr_high,week_pr_low,week_pr_high,month_pr_low,month_pr_high
2025-09-05,A,"AGILENT TECHNOLOGIES, INC.",128.75,126.46,-0.0178,-1.4625267665952926,-1.6382352941176483,-1.6302021403091564,0.2799,0.2925,-0.043077,-0.2001139196542075,121.04,131.82,112.04,138.95,101.33,145.57
2025-09-05,AAPL,APPLE INC.,239.69,240.41,0.003,-2.1028708133971237,-1.5091863517060358,-1.4844144903117091,0.2011,0.2479,-0.188786,-0.31095004476653076,229.13,241.53,210.94,258.74,186.83,275.3
2025-09-05,ABBV,ABBVIE INC.,212.56,219.18,0.0311,2.2242424242424175,-1.0598438855160448,-1.013650963597431,0.2127,0.1193,0.7829,0.018424828322359588,208.65,219.5,200.34,224.09,174.69,249.92
2025-09-05,ABNB,"AIRBNB, INC.",123.81,126.69,0.0233,2.6174496644295306,1.4191096634093356,1.0863523573200984,0.2947,0.3848,-0.234148,10.656640903749775,122.86,132.98,114.6,136.88,103.66,145.7
2025-09-05,ABT,ABBOTT LABORATORIES,132.94,137.67,0.0356,-1.0489795918367368,-1.3384747215081392,1.1052937754508436,0.1972,0.155,0.272258,14.608848740777216,129.64,135.22,117.32,144.61,115.75,151.94
2025-09-05,ACGL,ARCH CAPITAL GROUP LTD.,91.29,96.4,0.056,2.6063829787233863,1.4666666666666648,1.341729638958856,0.2435,0.1993,0.221776,3.129300311376017,89.5,96.28,87.09,97.45,79.38,107.27
2025-09-05,ACN,ACCENTURE PUBLIC LIMITED COMPANY,254.95,256.43,0.0058,1.1790254237288134,-1.8443188951663516,-1.0496315561335066,0.3935,0.217,0.813364,0.22747950559182062,247.15,266.86,225.57,270.88,206.52,301.09
2025-09-05,ADBE,ADOBE INC.,348.97,345.54,-0.0098,-1.7294938917975642,-1.4771341463414698,-1.380259969156203,0.447,0.2788,0.6033,-0.013568640652339044,330.69,361.7,319.9,368.65,286.32,394.36
2025-09-05,ADI,"ANALOG DEVICES, INC.",247.07,260.97,0.0563,1.0394207562349163,1.7625284738040994,1.0305252725470768,0.2473,0.2896,-0.146064,1.7110971175527272,236.15,261.61,229.51,278.02,196.62,299.06
2025-09-05,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,62.94,59.83,-0.0494,-1.3699421965317873,2.044164037854894,-1.766033254156769,0.2497,0.1907,0.309386,1.0165805094929579,60.77,64.71,59.77,69.42,48.07,71.36
2025-09-05,ADP,"AUTOMATIC DATA PROCESSING, INC.",295.97,311.31,0.0518,1.549844236760119,1.589430894308938,1.640879787637466,0.2063,0.159,0.297484,13.938425256161683,291.81,306.91,283.67,315.52,269.6,339.24
2025-09-05,ADSK,"AUTODESK, INC.",326.37,335.05,0.0266,1.1071428571428554,-1.3657708628005658,-1.1933357744415964,0.2258,0.3837,-0.411519,-0.7153638742648849,302.25,348.36,278.09,361.72,261.19,380.99
