"Date","Ticker","daily_return_pct","daily_return_avg_pct","daily_return_hi_pct","daily_return_lo_pct"
8/1/2024 0:00:00,"XLK","-0.0380","0.0007","0.0184","-0.0170"
8/2/2024 0:00:00,"XLK","-0.0285","0.0007","0.0184","-0.0170"
8/5/2024 0:00:00,"XLK","-0.0339","0.0007","0.0184","-0.0170"
8/6/2024 0:00:00,"XLK","0.0135","0.0007","0.0184","-0.0170"
8/7/2024 0:00:00,"XLK","-0.0163","0.0007","0.0184","-0.0170"
8/8/2024 0:00:00,"XLK","0.0367","0.0007","0.0184","-0.0170"
8/9/2024 0:00:00,"XLK","0.0045","0.0007","0.0184","-0.0170"
8/12/2024 0:00:00,"XLK","0.0081","0.0007","0.0184","-0.0170"
8/13/2024 0:00:00,"XLK","0.0303","0.0007","0.0184","-0.0170"
8/14/2024 0:00:00,"XLK","0.0055","0.0007","0.0184","-0.0170"
8/15/2024 0:00:00,"XLK","0.0284","0.0007","0.0184","-0.0170"
8/16/2024 0:00:00,"XLK","0.0017","0.0007","0.0184","-0.0170"
8/19/2024 0:00:00,"XLK","0.0164","0.0007","0.0184","-0.0170"
8/20/2024 0:00:00,"XLK","-0.0035","0.0007","0.0184","-0.0170"
8/21/2024 0:00:00,"XLK","0.0059","0.0007","0.0184","-0.0170"
8/22/2024 0:00:00,"XLK","-0.0233","0.0007","0.0184","-0.0170"
8/23/2024 0:00:00,"XLK","0.0161","0.0007","0.0184","-0.0170"
8/26/2024 0:00:00,"XLK","-0.0126","0.0007","0.0184","-0.0170"
8/27/2024 0:00:00,"XLK","0.0060","0.0007","0.0184","-0.0170"
8/28/2024 0:00:00,"XLK","-0.0139","0.0007","0.0184","-0.0170"
8/29/2024 0:00:00,"XLK","-0.0091","0.0007","0.0184","-0.0170"
8/30/2024 0:00:00,"XLK","0.0132","0.0007","0.0184","-0.0170"
9/3/2024 0:00:00,"XLK","-0.0470","0.0007","0.0184","-0.0170"
9/4/2024 0:00:00,"XLK","-0.0026","0.0007","0.0184","-0.0170"
9/5/2024 0:00:00,"XLK","-0.0015","0.0007","0.0184","-0.0170"
9/6/2024 0:00:00,"XLK","-0.0263","0.0007","0.0184","-0.0170"
9/9/2024 0:00:00,"XLK","0.0162","0.0007","0.0184","-0.0170"
9/10/2024 0:00:00,"XLK","0.0148","0.0007","0.0184","-0.0170"
9/11/2024 0:00:00,"XLK","0.0336","0.0007","0.0184","-0.0170"
9/12/2024 0:00:00,"XLK","0.0082","0.0007","0.0184","-0.0170"
9/13/2024 0:00:00,"XLK","0.0050","0.0007","0.0184","-0.0170"
9/16/2024 0:00:00,"XLK","-0.0038","0.0007","0.0184","-0.0170"
9/17/2024 0:00:00,"XLK","-0.0020","0.0007","0.0184","-0.0170"
9/18/2024 0:00:00,"XLK","-0.0092","0.0007","0.0184","-0.0170"
9/19/2024 0:00:00,"XLK","0.0293","0.0007","0.0184","-0.0170"
9/20/2024 0:00:00,"XLK","-0.0049","0.0007","0.0184","-0.0170"
11/6/2024 0:00:00,"XLK","0.0281","0.0007","0.0184","-0.0170"
11/7/2024 0:00:00,"XLK","0.0173","0.0007","0.0184","-0.0170"
11/8/2024 0:00:00,"XLK","-0.0011","0.0007","0.0184","-0.0170"
11/11/2024 0:00:00,"XLK","-0.0055","0.0007","0.0184","-0.0170"
9/23/2024 0:00:00,"XLK","-0.0020","0.0007","0.0184","-0.0170"
9/24/2024 0:00:00,"XLK","0.0068","0.0007","0.0184","-0.0170"
9/25/2024 0:00:00,"XLK","0.0029","0.0007","0.0184","-0.0170"
9/26/2024 0:00:00,"XLK","0.0132","0.0007","0.0184","-0.0170"
9/27/2024 0:00:00,"XLK","-0.0094","0.0007","0.0184","-0.0170"
9/30/2024 0:00:00,"XLK","0.0029","0.0007","0.0184","-0.0170"
10/1/2024 0:00:00,"XLK","-0.0247","0.0007","0.0184","-0.0170"
10/2/2024 0:00:00,"XLK","0.0074","0.0007","0.0184","-0.0170"
10/3/2024 0:00:00,"XLK","0.0041","0.0007","0.0184","-0.0170"
10/4/2024 0:00:00,"XLK","0.0111","0.0007","0.0184","-0.0170"
10/7/2024 0:00:00,"XLK","-0.0069","0.0007","0.0184","-0.0170"
10/8/2024 0:00:00,"XLK","0.0185","0.0007","0.0184","-0.0170"
10/9/2024 0:00:00,"XLK","0.0111","0.0007","0.0184","-0.0170"
10/10/2024 0:00:00,"XLK","-0.0003","0.0007","0.0184","-0.0170"
10/11/2024 0:00:00,"XLK","0.0017","0.0007","0.0184","-0.0170"
10/14/2024 0:00:00,"XLK","0.0130","0.0007","0.0184","-0.0170"
10/15/2024 0:00:00,"XLK","-0.0222","0.0007","0.0184","-0.0170"
10/16/2024 0:00:00,"XLK","0.0031","0.0007","0.0184","-0.0170"
10/17/2024 0:00:00,"XLK","0.0030","0.0007","0.0184","-0.0170"
10/18/2024 0:00:00,"XLK","0.0036","0.0007","0.0184","-0.0170"
10/21/2024 0:00:00,"XLK","0.0047","0.0007","0.0184","-0.0170"
10/22/2024 0:00:00,"XLK","-0.0010","0.0007","0.0184","-0.0170"
10/23/2024 0:00:00,"XLK","-0.0144","0.0007","0.0184","-0.0170"
10/24/2024 0:00:00,"XLK","0.0029","0.0007","0.0184","-0.0170"
10/25/2024 0:00:00,"XLK","0.0052","0.0007","0.0184","-0.0170"
10/28/2024 0:00:00,"XLK","-0.0003","0.0007","0.0184","-0.0170"
10/29/2024 0:00:00,"XLK","0.0134","0.0007","0.0184","-0.0170"
10/30/2024 0:00:00,"XLK","-0.0160","0.0007","0.0184","-0.0170"
10/31/2024 0:00:00,"XLK","-0.0326","0.0007","0.0184","-0.0170"
11/1/2024 0:00:00,"XLK","0.0075","0.0007","0.0184","-0.0170"
11/4/2024 0:00:00,"XLK","-0.0008","0.0007","0.0184","-0.0170"
11/5/2024 0:00:00,"XLK","0.0140","0.0007","0.0184","-0.0170"
11/12/2024 0:00:00,"XLK","0.0013","0.0007","0.0184","-0.0170"
11/13/2024 0:00:00,"XLK","-0.0035","0.0007","0.0184","-0.0170"
11/14/2024 0:00:00,"XLK","-0.0034","0.0007","0.0184","-0.0170"
11/15/2024 0:00:00,"XLK","-0.0251","0.0007","0.0184","-0.0170"
11/18/2024 0:00:00,"XLK","0.0032","0.0007","0.0184","-0.0170"
11/19/2024 0:00:00,"XLK","0.0082","0.0007","0.0184","-0.0170"
