"Date","Ticker","Rvol","Rvol_avg","Rvol_hi","Rvol_low"
8/1/2024 0:00:00,"XLK","0.3391","0.2603","0.3888","0.1318"
8/2/2024 0:00:00,"XLK","0.3430","0.2603","0.3888","0.1318"
8/5/2024 0:00:00,"XLK","0.3544","0.2603","0.3888","0.1318"
8/6/2024 0:00:00,"XLK","0.3586","0.2603","0.3888","0.1318"
8/7/2024 0:00:00,"XLK","0.3590","0.2603","0.3888","0.1318"
8/8/2024 0:00:00,"XLK","0.3841","0.2603","0.3888","0.1318"
8/9/2024 0:00:00,"XLK","0.3801","0.2603","0.3888","0.1318"
8/12/2024 0:00:00,"XLK","0.3798","0.2603","0.3888","0.1318"
8/13/2024 0:00:00,"XLK","0.3992","0.2603","0.3888","0.1318"
8/14/2024 0:00:00,"XLK","0.4006","0.2603","0.3888","0.1318"
8/15/2024 0:00:00,"XLK","0.3934","0.2603","0.3888","0.1318"
8/16/2024 0:00:00,"XLK","0.3935","0.2603","0.3888","0.1318"
8/19/2024 0:00:00,"XLK","0.3937","0.2603","0.3888","0.1318"
8/20/2024 0:00:00,"XLK","0.3853","0.2603","0.3888","0.1318"
8/21/2024 0:00:00,"XLK","0.3856","0.2603","0.3888","0.1318"
8/22/2024 0:00:00,"XLK","0.3644","0.2603","0.3888","0.1318"
8/23/2024 0:00:00,"XLK","0.3653","0.2603","0.3888","0.1318"
8/26/2024 0:00:00,"XLK","0.3668","0.2603","0.3888","0.1318"
8/27/2024 0:00:00,"XLK","0.3666","0.2603","0.3888","0.1318"
8/28/2024 0:00:00,"XLK","0.3579","0.2603","0.3888","0.1318"
8/29/2024 0:00:00,"XLK","0.3296","0.2603","0.3888","0.1318"
8/30/2024 0:00:00,"XLK","0.3024","0.2603","0.3888","0.1318"
9/3/2024 0:00:00,"XLK","0.3314","0.2603","0.3888","0.1318"
9/4/2024 0:00:00,"XLK","0.3064","0.2603","0.3888","0.1318"
9/5/2024 0:00:00,"XLK","0.3042","0.2603","0.3888","0.1318"
9/6/2024 0:00:00,"XLK","0.3135","0.2603","0.3888","0.1318"
9/9/2024 0:00:00,"XLK","0.2920","0.2603","0.3888","0.1318"
9/10/2024 0:00:00,"XLK","0.2959","0.2603","0.3888","0.1318"
9/11/2024 0:00:00,"XLK","0.3160","0.2603","0.3888","0.1318"
9/12/2024 0:00:00,"XLK","0.3002","0.2603","0.3888","0.1318"
