"Date","Ticker","weekly_return_pct","weekly_return_avg_pct","weekly_return_hi_pct","weekly_return_lo_pct"
7/29/2024 0:00:00,"DIA","-0.0220","0.0025","0.0255","-0.0205"
7/29/2024 0:00:00,"IWM","-0.0707","0.0018","0.0337","-0.0301"
7/29/2024 0:00:00,"QQQ","-0.0312","0.0045","0.0358","-0.0268"
7/29/2024 0:00:00,"SPY","-0.0214","0.0035","0.0286","-0.0216"
7/29/2024 0:00:00,"XLB","-0.0142","0.0005","0.0271","-0.0261"
7/29/2024 0:00:00,"XLC","0.0123","0.0053","0.0300","-0.0194"
7/29/2024 0:00:00,"XLE","-0.0420","0.0001","0.0367","-0.0365"
7/29/2024 0:00:00,"XLF","-0.0316","0.0044","0.0326","-0.0238"
7/29/2024 0:00:00,"XLI","-0.0287","0.0038","0.0313","-0.0237"
7/29/2024 0:00:00,"XLK","-0.0549","0.0045","0.0421","-0.0331"
7/29/2024 0:00:00,"XLP","0.0098","0.0002","0.0150","-0.0146"
7/29/2024 0:00:00,"XLRE","0.0274","0.0001","0.0226","-0.0224"
7/29/2024 0:00:00,"XLU","0.0420","0.0025","0.0213","-0.0163"
7/29/2024 0:00:00,"XLV","0.0060","-0.0018","0.0199","-0.0235"
7/29/2024 0:00:00,"XLY","-0.0360","0.0051","0.0351","-0.0249"
8/5/2024 0:00:00,"DIA","-0.0050","0.0025","0.0255","-0.0205"
8/5/2024 0:00:00,"IWM","-0.0118","0.0018","0.0337","-0.0301"
8/5/2024 0:00:00,"QQQ","0.0037","0.0045","0.0358","-0.0268"
8/5/2024 0:00:00,"SPY","0.0002","0.0035","0.0286","-0.0216"
8/5/2024 0:00:00,"XLB","-0.0166","0.0005","0.0271","-0.0261"
8/5/2024 0:00:00,"XLC","0.0055","0.0053","0.0300","-0.0194"
8/5/2024 0:00:00,"XLE","0.0114","0.0001","0.0367","-0.0365"
8/5/2024 0:00:00,"XLF","0.0081","0.0044","0.0326","-0.0238"
8/5/2024 0:00:00,"XLI","0.0126","0.0038","0.0313","-0.0237"
8/5/2024 0:00:00,"XLK","0.0044","0.0045","0.0421","-0.0331"
8/5/2024 0:00:00,"XLP","-0.0014","0.0002","0.0150","-0.0146"
8/5/2024 0:00:00,"XLRE","-0.0012","0.0001","0.0226","-0.0224"
8/5/2024 0:00:00,"XLU","-0.0083","0.0025","0.0213","-0.0163"
8/5/2024 0:00:00,"XLV","-0.0059","-0.0018","0.0199","-0.0235"
8/5/2024 0:00:00,"XLY","-0.0104","0.0051","0.0351","-0.0249"
8/12/2024 0:00:00,"DIA","0.0289","0.0025","0.0255","-0.0205"
8/12/2024 0:00:00,"IWM","0.0293","0.0018","0.0337","-0.0301"
8/12/2024 0:00:00,"QQQ","0.0532","0.0045","0.0358","-0.0268"
8/12/2024 0:00:00,"SPY","0.0392","0.0035","0.0286","-0.0216"
8/12/2024 0:00:00,"XLB","0.0224","0.0005","0.0271","-0.0261"
8/12/2024 0:00:00,"XLC","0.0122","0.0053","0.0300","-0.0194"
8/12/2024 0:00:00,"XLE","0.0118","0.0001","0.0367","-0.0365"
8/12/2024 0:00:00,"XLF","0.0318","0.0044","0.0326","-0.0238"
8/12/2024 0:00:00,"XLI","0.0214","0.0038","0.0313","-0.0237"
8/12/2024 0:00:00,"XLK","0.0739","0.0045","0.0421","-0.0331"
8/12/2024 0:00:00,"XLP","0.0170","0.0002","0.0150","-0.0146"
8/12/2024 0:00:00,"XLRE","0.0012","0.0001","0.0226","-0.0224"
8/12/2024 0:00:00,"XLU","0.0112","0.0025","0.0213","-0.0163"
8/12/2024 0:00:00,"XLV","0.0191","-0.0018","0.0199","-0.0235"
8/12/2024 0:00:00,"XLY","0.0492","0.0051","0.0351","-0.0249"
8/19/2024 0:00:00,"DIA","0.0124","0.0025","0.0255","-0.0205"
8/19/2024 0:00:00,"IWM","0.0359","0.0018","0.0337","-0.0301"
8/19/2024 0:00:00,"QQQ","0.0104","0.0045","0.0358","-0.0268"
8/19/2024 0:00:00,"SPY","0.0140","0.0035","0.0286","-0.0216"
8/19/2024 0:00:00,"XLB","0.0236","0.0005","0.0271","-0.0261"
8/19/2024 0:00:00,"XLC","0.0143","0.0053","0.0300","-0.0194"
8/19/2024 0:00:00,"XLE","-0.0009","0.0001","0.0367","-0.0365"
8/19/2024 0:00:00,"XLF","0.0150","0.0044","0.0326","-0.0238"
8/19/2024 0:00:00,"XLI","0.0180","0.0038","0.0313","-0.0237"
8/19/2024 0:00:00,"XLK","0.0115","0.0045","0.0421","-0.0331"
8/19/2024 0:00:00,"XLP","0.0164","0.0002","0.0150","-0.0146"
8/19/2024 0:00:00,"XLRE","0.0354","0.0001","0.0226","-0.0224"
8/19/2024 0:00:00,"XLU","0.0131","0.0025","0.0213","-0.0163"
8/19/2024 0:00:00,"XLV","0.0167","-0.0018","0.0199","-0.0235"
8/19/2024 0:00:00,"XLY","0.0256","0.0051","0.0351","-0.0249"
8/26/2024 0:00:00,"DIA","0.0106","0.0025","0.0255","-0.0205"
8/26/2024 0:00:00,"IWM","-0.0014","0.0018","0.0337","-0.0301"
8/26/2024 0:00:00,"QQQ","-0.0078","0.0045","0.0358","-0.0268"
8/26/2024 0:00:00,"SPY","0.0028","0.0035","0.0286","-0.0216"
8/26/2024 0:00:00,"XLB","0.0166","0.0005","0.0271","-0.0261"
8/26/2024 0:00:00,"XLC","-0.0021","0.0053","0.0300","-0.0194"
8/26/2024 0:00:00,"XLE","0.0098","0.0001","0.0367","-0.0365"
8/26/2024 0:00:00,"XLF","0.0291","0.0044","0.0326","-0.0238"
8/26/2024 0:00:00,"XLI","0.0167","0.0038","0.0313","-0.0237"
8/26/2024 0:00:00,"XLK","-0.0163","0.0045","0.0421","-0.0331"
8/26/2024 0:00:00,"XLP","0.0082","0.0002","0.0150","-0.0146"
8/26/2024 0:00:00,"XLRE","0.0041","0.0001","0.0226","-0.0224"
8/26/2024 0:00:00,"XLU","0.0115","0.0025","0.0213","-0.0163"
8/26/2024 0:00:00,"XLV","0.0112","-0.0018","0.0199","-0.0235"
8/26/2024 0:00:00,"XLY","-0.0040","0.0051","0.0351","-0.0249"
9/3/2024 0:00:00,"DIA","-0.0286","0.0025","0.0255","-0.0205"
9/3/2024 0:00:00,"IWM","-0.0569","0.0018","0.0337","-0.0301"
9/3/2024 0:00:00,"QQQ","-0.0597","0.0045","0.0358","-0.0268"
9/3/2024 0:00:00,"SPY","-0.0423","0.0035","0.0286","-0.0216"
9/3/2024 0:00:00,"XLB","-0.0477","0.0005","0.0271","-0.0261"
9/3/2024 0:00:00,"XLC","-0.0415","0.0053","0.0300","-0.0194"
9/3/2024 0:00:00,"XLE","-0.0595","0.0001","0.0367","-0.0365"
9/3/2024 0:00:00,"XLF","-0.0322","0.0044","0.0326","-0.0238"
9/3/2024 0:00:00,"XLI","-0.0433","0.0038","0.0313","-0.0237"
9/3/2024 0:00:00,"XLK","-0.0774","0.0045","0.0421","-0.0331"
9/3/2024 0:00:00,"XLP","0.0058","0.0002","0.0150","-0.0146"
9/3/2024 0:00:00,"XLRE","0.0018","0.0001","0.0226","-0.0224"
9/3/2024 0:00:00,"XLU","-0.0050","0.0025","0.0213","-0.0163"
9/3/2024 0:00:00,"XLV","-0.0209","-0.0018","0.0199","-0.0235"
9/3/2024 0:00:00,"XLY","-0.0255","0.0051","0.0351","-0.0249"
9/9/2024 0:00:00,"DIA","0.0256","0.0025","0.0255","-0.0205"
9/9/2024 0:00:00,"IWM","0.0421","0.0018","0.0337","-0.0301"
9/9/2024 0:00:00,"QQQ","0.0577","0.0045","0.0358","-0.0268"
9/9/2024 0:00:00,"SPY","0.0393","0.0035","0.0286","-0.0216"
9/9/2024 0:00:00,"XLB","0.0307","0.0005","0.0271","-0.0261"
9/9/2024 0:00:00,"XLC","0.0363","0.0053","0.0300","-0.0194"
9/9/2024 0:00:00,"XLE","-0.0049","0.0001","0.0367","-0.0365"
9/9/2024 0:00:00,"XLF","0.0050","0.0044","0.0326","-0.0238"
9/9/2024 0:00:00,"XLI","0.0365","0.0038","0.0313","-0.0237"
9/9/2024 0:00:00,"XLK","0.0779","0.0045","0.0421","-0.0331"
9/9/2024 0:00:00,"XLP","0.0113","0.0002","0.0150","-0.0146"
9/9/2024 0:00:00,"XLRE","0.0356","0.0001","0.0226","-0.0224"
9/9/2024 0:00:00,"XLU","0.0341","0.0025","0.0213","-0.0163"
9/9/2024 0:00:00,"XLV","0.0143","-0.0018","0.0199","-0.0235"
9/9/2024 0:00:00,"XLY","0.0538","0.0051","0.0351","-0.0249"
9/16/2024 0:00:00,"DIA","0.0135","0.0025","0.0255","-0.0205"
9/16/2024 0:00:00,"IWM","0.0216","0.0018","0.0337","-0.0301"
9/16/2024 0:00:00,"QQQ","0.0148","0.0045","0.0358","-0.0268"
9/16/2024 0:00:00,"SPY","0.0110","0.0035","0.0286","-0.0216"
9/16/2024 0:00:00,"XLB","0.0148","0.0005","0.0271","-0.0261"
9/16/2024 0:00:00,"XLC","0.0231","0.0053","0.0300","-0.0194"
9/16/2024 0:00:00,"XLE","0.0364","0.0001","0.0367","-0.0365"
9/16/2024 0:00:00,"XLF","0.0255","0.0044","0.0326","-0.0238"
9/16/2024 0:00:00,"XLI","0.0198","0.0038","0.0313","-0.0237"
9/16/2024 0:00:00,"XLK","0.0094","0.0045","0.0421","-0.0331"
9/16/2024 0:00:00,"XLP","-0.0105","0.0002","0.0150","-0.0146"
9/16/2024 0:00:00,"XLRE","-0.0118","0.0001","0.0226","-0.0224"
9/16/2024 0:00:00,"XLU","0.0194","0.0025","0.0213","-0.0163"
9/16/2024 0:00:00,"XLV","-0.0057","-0.0018","0.0199","-0.0235"
9/16/2024 0:00:00,"XLY","0.0216","0.0051","0.0351","-0.0249"
9/23/2024 0:00:00,"DIA","0.0056","0.0025","0.0255","-0.0205"
9/23/2024 0:00:00,"IWM","-0.0056","0.0018","0.0337","-0.0301"
9/23/2024 0:00:00,"QQQ","0.0089","0.0045","0.0358","-0.0268"
9/23/2024 0:00:00,"SPY","0.0057","0.0035","0.0286","-0.0216"
9/23/2024 0:00:00,"XLB","0.0298","0.0005","0.0271","-0.0261"
9/23/2024 0:00:00,"XLC","0.0124","0.0053","0.0300","-0.0194"
9/23/2024 0:00:00,"XLE","-0.0178","0.0001","0.0367","-0.0365"
9/23/2024 0:00:00,"XLF","-0.0112","0.0044","0.0326","-0.0238"
9/23/2024 0:00:00,"XLI","0.0123","0.0038","0.0313","-0.0237"
9/23/2024 0:00:00,"XLK","0.0115","0.0045","0.0421","-0.0331"
9/23/2024 0:00:00,"XLP","-0.0004","0.0002","0.0150","-0.0146"
9/23/2024 0:00:00,"XLRE","-0.0088","0.0001","0.0226","-0.0224"
9/23/2024 0:00:00,"XLU","0.0042","0.0025","0.0213","-0.0163"
9/23/2024 0:00:00,"XLV","-0.0147","-0.0018","0.0199","-0.0235"
9/23/2024 0:00:00,"XLY","0.0209","0.0051","0.0351","-0.0249"
9/30/2024 0:00:00,"DIA","0.0011","0.0025","0.0255","-0.0205"
9/30/2024 0:00:00,"IWM","-0.0054","0.0018","0.0337","-0.0301"
9/30/2024 0:00:00,"QQQ","0.0012","0.0045","0.0358","-0.0268"
9/30/2024 0:00:00,"SPY","0.0026","0.0035","0.0286","-0.0216"
9/30/2024 0:00:00,"XLB","-0.0182","0.0005","0.0271","-0.0261"
9/30/2024 0:00:00,"XLC","0.0096","0.0053","0.0300","-0.0194"
9/30/2024 0:00:00,"XLE","0.0664","0.0001","0.0367","-0.0365"
9/30/2024 0:00:00,"XLF","0.0110","0.0044","0.0326","-0.0238"
9/30/2024 0:00:00,"XLI","0.0050","0.0038","0.0313","-0.0237"
9/30/2024 0:00:00,"XLK","0.0008","0.0045","0.0421","-0.0331"
