"Date","Ticker","st_trend","mt_trend","lt_trend"
8/1/2024 0:00:00,"XLK","-0.0339","0.0069","0.0389"
8/2/2024 0:00:00,"XLK","-0.0373","0.0069","0.0389"
8/5/2024 0:00:00,"XLK","-0.0504","0.0002","0.0389"
8/6/2024 0:00:00,"XLK","-0.0527","0.0002","0.0389"
8/7/2024 0:00:00,"XLK","-0.0510","0.0002","0.0389"
8/8/2024 0:00:00,"XLK","-0.0458","0.0002","0.0389"
8/9/2024 0:00:00,"XLK","-0.0422","0.0002","0.0389"
8/12/2024 0:00:00,"XLK","-0.0391","-0.0045","0.0389"
8/13/2024 0:00:00,"XLK","-0.0350","-0.0045","0.0389"
8/14/2024 0:00:00,"XLK","-0.0260","-0.0045","0.0389"
8/15/2024 0:00:00,"XLK","-0.0122","-0.0045","0.0389"
8/16/2024 0:00:00,"XLK","-0.0052","-0.0045","0.0389"
8/19/2024 0:00:00,"XLK","0.0005","-0.0056","0.0389"
8/20/2024 0:00:00,"XLK","0.0067","-0.0056","0.0389"
8/21/2024 0:00:00,"XLK","0.0073","-0.0056","0.0389"
8/22/2024 0:00:00,"XLK","0.0089","-0.0056","0.0389"
8/23/2024 0:00:00,"XLK","0.0133","-0.0056","0.0389"
8/26/2024 0:00:00,"XLK","0.0264","-0.0030","0.0389"
8/27/2024 0:00:00,"XLK","0.0277","-0.0030","0.0389"
8/28/2024 0:00:00,"XLK","0.0282","-0.0030","0.0389"
8/29/2024 0:00:00,"XLK","0.0258","-0.0030","0.0389"
8/30/2024 0:00:00,"XLK","0.0238","-0.0030","0.0389"
9/3/2024 0:00:00,"XLK","0.0145","-0.0141","0.0486"
9/4/2024 0:00:00,"XLK","0.0068","-0.0141","0.0486"
9/5/2024 0:00:00,"XLK","-0.0004","-0.0141","0.0486"
9/6/2024 0:00:00,"XLK","-0.0118","-0.0141","0.0486"
9/9/2024 0:00:00,"XLK","-0.0171","-0.0273","0.0486"
9/10/2024 0:00:00,"XLK","-0.0214","-0.0273","0.0486"
9/11/2024 0:00:00,"XLK","-0.0160","-0.0273","0.0486"
9/12/2024 0:00:00,"XLK","-0.0153","-0.0273","0.0486"
9/13/2024 0:00:00,"XLK","-0.0141","-0.0273","0.0486"
9/16/2024 0:00:00,"XLK","-0.0119","-0.0291","0.0486"
9/17/2024 0:00:00,"XLK","-0.0090","-0.0291","0.0486"
9/18/2024 0:00:00,"XLK","-0.0078","-0.0291","0.0486"
9/19/2024 0:00:00,"XLK","-0.0040","-0.0291","0.0486"
9/20/2024 0:00:00,"XLK","-0.0016","-0.0291","0.0486"
11/6/2024 0:00:00,"XLK","-0.0056","0.0082","0.0635"
11/7/2024 0:00:00,"XLK","0.0005","0.0082","0.0635"
11/8/2024 0:00:00,"XLK","0.0041","0.0082","0.0635"
11/11/2024 0:00:00,"XLK","0.0056","0.0038","0.0635"
9/23/2024 0:00:00,"XLK","-0.0006","-0.0249","0.0486"
9/24/2024 0:00:00,"XLK","0.0065","-0.0249","0.0486"
9/25/2024 0:00:00,"XLK","0.0118","-0.0249","0.0486"
9/26/2024 0:00:00,"XLK","0.0172","-0.0249","0.0486"
9/27/2024 0:00:00,"XLK","0.0242","-0.0249","0.0486"
9/30/2024 0:00:00,"XLK","0.0245","-0.0255","0.0486"
10/1/2024 0:00:00,"XLK","0.0195","-0.0255","0.0618"
10/2/2024 0:00:00,"XLK","0.0113","-0.0255","0.0618"
10/3/2024 0:00:00,"XLK","0.0065","-0.0255","0.0618"
10/4/2024 0:00:00,"XLK","0.0048","-0.0255","0.0618"
10/7/2024 0:00:00,"XLK","0.0046","-0.0273","0.0618"
10/8/2024 0:00:00,"XLK","0.0056","-0.0273","0.0618"
10/9/2024 0:00:00,"XLK","0.0091","-0.0273","0.0618"
10/10/2024 0:00:00,"XLK","0.0087","-0.0273","0.0618"
10/11/2024 0:00:00,"XLK","0.0092","-0.0273","0.0618"
10/14/2024 0:00:00,"XLK","0.0107","-0.0193","0.0618"
10/15/2024 0:00:00,"XLK","0.0098","-0.0193","0.0618"
10/16/2024 0:00:00,"XLK","0.0081","-0.0193","0.0618"
10/17/2024 0:00:00,"XLK","0.0054","-0.0193","0.0618"
10/18/2024 0:00:00,"XLK","0.0046","-0.0193","0.0618"
10/21/2024 0:00:00,"XLK","0.0049","-0.0060","0.0618"
10/22/2024 0:00:00,"XLK","0.0101","-0.0060","0.0618"
10/23/2024 0:00:00,"XLK","0.0101","-0.0060","0.0618"
10/24/2024 0:00:00,"XLK","0.0093","-0.0060","0.0618"
10/25/2024 0:00:00,"XLK","0.0097","-0.0060","0.0618"
10/28/2024 0:00:00,"XLK","0.0093","0.0014","0.0618"
10/29/2024 0:00:00,"XLK","0.0082","0.0014","0.0618"
10/30/2024 0:00:00,"XLK","0.0049","0.0014","0.0618"
10/31/2024 0:00:00,"XLK","-0.0038","0.0014","0.0618"
11/1/2024 0:00:00,"XLK","-0.0075","0.0014","0.0635"
11/4/2024 0:00:00,"XLK","-0.0112","0.0082","0.0635"
11/5/2024 0:00:00,"XLK","-0.0125","0.0082","0.0635"
11/12/2024 0:00:00,"XLK","0.0054","0.0038","0.0635"
11/13/2024 0:00:00,"XLK","0.0071","0.0038","0.0635"
11/14/2024 0:00:00,"XLK","0.0074","0.0038","0.0635"
11/15/2024 0:00:00,"XLK","0.0026","0.0038","0.0635"
11/18/2024 0:00:00,"XLK","-0.0007","-0.0035","0.0635"
11/19/2024 0:00:00,"XLK","-0.0037","-0.0035","0.0635"
11/20/2024 0:00:00,"XLK","-0.0043","-0.0035","0.0635"
11/21/2024 0:00:00,"XLK","0.0032","-0.0035","0.0635"
11/22/2024 0:00:00,"XLK","0.0076","-0.0035","0.0635"
11/25/2024 0:00:00,"XLK","0.0110","-0.0042","0.0635"
11/26/2024 0:00:00,"XLK","0.0123","-0.0042","0.0635"
11/27/2024 0:00:00,"XLK","0.0057","-0.0042","0.0635"
11/29/2024 0:00:00,"XLK","-0.0008","-0.0042","0.0635"
12/2/2024 0:00:00,"XLK","-0.0034","0.0123","0.0620"
12/3/2024 0:00:00,"XLK","-0.0043","0.0123","0.0620"
12/4/2024 0:00:00,"XLK","-0.0007","0.0123","0.0620"
12/5/2024 0:00:00,"XLK","0.0015","0.0123","0.0620"
12/6/2024 0:00:00,"XLK","0.0036","0.0123","0.0620"
12/9/2024 0:00:00,"XLK","0.0080","0.0206","0.0620"
12/10/2024 0:00:00,"XLK","0.0078","0.0206","0.0620"
12/11/2024 0:00:00,"XLK","0.0088","0.0206","0.0620"
12/12/2024 0:00:00,"XLK","0.0096","0.0206","0.0620"
12/13/2024 0:00:00,"XLK","0.0079","0.0206","0.0620"
12/16/2024 0:00:00,"XLK","0.0078","0.0168","0.0620"
12/17/2024 0:00:00,"XLK","0.0067","0.0168","0.0620"
12/18/2024 0:00:00,"XLK","-0.0001","0.0168","0.0620"
12/19/2024 0:00:00,"XLK","0.0021","0.0168","0.0620"
12/20/2024 0:00:00,"XLK","-0.0011","0.0168","0.0620"
12/23/2024 0:00:00,"XLK","-0.0018","0.0158","0.0620"
12/24/2024 0:00:00,"XLK","-0.0021","0.0158","0.0620"
12/26/2024 0:00:00,"XLK","-0.0040","0.0158","0.0620"
12/27/2024 0:00:00,"XLK","-0.0066","0.0158","0.0620"
12/30/2024 0:00:00,"XLK","-0.0104","0.0174","0.0620"
12/31/2024 0:00:00,"XLK","-0.0122","0.0174","0.0620"
1/2/2025 0:00:00,"XLK","-0.0127","0.0174","0.0605"
1/3/2025 0:00:00,"XLK","-0.0122","0.0174","0.0605"
1/6/2025 0:00:00,"XLK","-0.0078","0.0094","0.0605"
1/7/2025 0:00:00,"XLK","-0.0067","0.0094","0.0605"
1/8/2025 0:00:00,"XLK","-0.0088","0.0094","0.0605"
1/10/2025 0:00:00,"XLK","-0.0121","0.0094","0.0605"
1/13/2025 0:00:00,"XLK","-0.0113","0.0025","0.0605"
1/14/2025 0:00:00,"XLK","-0.0126","0.0025","0.0605"
1/15/2025 0:00:00,"XLK","-0.0079","0.0025","0.0605"
1/16/2025 0:00:00,"XLK","-0.0054","0.0025","0.0605"
1/17/2025 0:00:00,"XLK","-0.0037","0.0025","0.0605"
1/21/2025 0:00:00,"XLK","-0.0036","0.0025","0.0605"
1/22/2025 0:00:00,"XLK","0.0001","0.0025","0.0605"
1/23/2025 0:00:00,"XLK","0.0053","0.0025","0.0605"
1/24/2025 0:00:00,"XLK","0.0097","0.0025","0.0605"
1/27/2025 0:00:00,"XLK","0.0035","0.0042","0.0605"
1/28/2025 0:00:00,"XLK","-0.0022","0.0042","0.0605"
1/29/2025 0:00:00,"XLK","-0.0074","0.0042","0.0605"
1/30/2025 0:00:00,"XLK","-0.0094","0.0042","0.0605"
1/31/2025 0:00:00,"XLK","-0.0066","0.0042","0.0605"
2/3/2025 0:00:00,"XLK","-0.0059","-0.0049","0.0552"
2/4/2025 0:00:00,"XLK","-0.0030","-0.0049","0.0552"
2/5/2025 0:00:00,"XLK","0.0000","-0.0049","0.0552"
2/6/2025 0:00:00,"XLK","0.0002","-0.0049","0.0552"
2/7/2025 0:00:00,"XLK","0.0001","-0.0049","0.0552"
2/10/2025 0:00:00,"XLK","-0.0008","-0.0038","0.0552"
2/11/2025 0:00:00,"XLK","-0.0021","-0.0038","0.0552"
2/12/2025 0:00:00,"XLK","-0.0069","-0.0038","0.0552"
2/13/2025 0:00:00,"XLK","-0.0083","-0.0038","0.0552"
2/14/2025 0:00:00,"XLK","-0.0089","-0.0038","0.0552"
2/18/2025 0:00:00,"XLK","0.0013","-0.0027","0.0552"
2/19/2025 0:00:00,"XLK","0.0099","-0.0027","0.0552"
2/20/2025 0:00:00,"XLK","0.0118","-0.0027","0.0552"
2/21/2025 0:00:00,"XLK","0.0067","-0.0027","0.0552"
2/24/2025 0:00:00,"XLK","0.0016","-0.0191","0.0552"
2/25/2025 0:00:00,"XLK","0.0005","-0.0191","0.0552"
2/26/2025 0:00:00,"XLK","-0.0009","-0.0191","0.0552"
2/27/2025 0:00:00,"XLK","-0.0076","-0.0191","0.0552"
